	SMILES
0	CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)OC)(C(C)(C)O)O
1	CC(=C)C1CCC(=CC1)CO
2	CC(C)C1=C(C(=C2C=C3C=CC(=O)C(C3=CC(=O)C2=C1)(C)C)O)OC
3	CC(C)C1=C(C(=C2C=C3C=CC(=O)C(C3=CC(=O)C2=C1)(C)C)OC)OC
4	CC1=C2C(C(C3(C(CC(C2(C)C)CC1OC(=O)C)C(=C)C(CC3OC(=O)C)OC(=O)C=CC4=CC=CC=C4)C)OC(=O)C)OC(=O)C
5	CC(CCC=C(C)C(=O)O)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C
6	CCOC(=O)C1=CC(=C(C(=C1)O)O)O
7	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
8	CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)NC1
9	CC1CCC(NC1)C(C)C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)O)C)C)O
10	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
11	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
12	C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
13	CC1C(C(CC(O1)OC2C(OC(CC2OC)OC3C(OC(C(C3OC)O)OC4CCC5(C6CC=C7C8C(COC8(OC7=O)C)OC(=O)C6CC=C5C4)C)C)C)OC)O
14	C[C@@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@@H]1O[C@H]([C@H]1O)[C@H](Oc(cc(cc2C(c3cc(C)cc(O)c33)=O)OC)c2C3=O)O[C@H](CO)[C@H]1O
15	CC[C@H](C[C@H]([C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC(=O)[C@@H]4[C@@]3(CC[C@@H]([C@H]4C)OC(=O)C5=CC=CC=C5)C)C)O)C(C)C
16	CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)C)C)C)NC1
17	C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1
18	C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6
19	CC(=O)C1=C(C=C(C=C1)OC)O
20	C1=C(C=C(C(=C1O)O)O)C(=O)O
22	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
23	CO[C@@H]1C[C@@H]2[C@]3(C=C1)[C@H](CN2CC4=CC5=C(C=C34)OCO5)O
24	C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
25	COC1=CC(=CC(=C1)O)/C=C/C2=C(C(=C(C=C2)O)OC)OC
26	COC1=CC(=CC(=C1)O)/C=C/C2=C(C(=CC=C2)O)OC
27	COC1=CC=CC(=C1OC)/C=C/C2=CC(=CC(=C2)OC)O
28	C1=CC(=CC(=C1)O)/C=C/C2=CC(=CC(=C2)O)O
29	C1=CC(=O)O[C@@H]1CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
30	C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O
31	C1CN[C@H]2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5
32	CC1=C2C(=NC=C1)C3=C(C2=O)C=CC(=C3O)OC
33	C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C
34	C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=CC5=C6CC(CC[C@@]6([C@@H](C[C@@]54C)O)CO)(C)C)C)C)O)O[C@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O
35	C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]3[C@@H](O2)C=CC(=O)O3)O
36	C1C=CC(=O)O[C@@H]1/C=C/C2=CC=CC=C2
37	C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O)O)C)C)C)OC1
38	C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)C)OC1
39	C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O)O)C)C)C)OC1
40	C=C[C@H](/C=C/C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
41	COC1=C(C=CC(=C1)[C@@H](C=C)/C=C/C2=CC=C(C=C2)O)O
42	C/C/1=C\CCC2=C[C@H](C/C(=C/CC1)/C)OC2=O
43	CC(=O)OC[C@]1([C@@H]2CC[C@H]3[C@]45CCCC([C@H]4[C@@H]([C@]([C@@]3([C@@H]1O)C2O)(OC5)O)OC(=O)C)(C)C)O
44	CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
45	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1=CC=C(C=C1)OCCC(=O)O
46	C[C@]12CCCC([C@@H]1CC[C@@]([C@@H]2CC[C@@](C)(C=C)O)(C)O)(C)C
47	CC(=O)OC1=CC(=CC(=C1)OC)O
48	CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(C)C
49	CC1=CC(C(C=CC1=O)(C)C)O
50	C[C@H]1C(=O)O[C@@H]/2[C@]1([C@H]([C@H]3[C@@]([C@H](/C=C/C(=C2)/COC)OC(=O)C)([C@H]([C@H]([C@H]([C@]34CO4)OC(=O)C)OC(=O)C)OC(=O)C)C)OC(=O)C)O
51	CC1=C2[C@@]3(C[C@@H]1OC(=O)C)[C@H]([C@@H]4[C@]([C@@]2(C(=O)OC3(C)C)O)([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)C)OC(=O)C6=CC=CC=C6
52	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
53	CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@]2(C[C@@H]1O)C(C)(C)O)OC(=O)C)(CO4)OC(=O)C)O)C)O)O
54	CC1=C2[C@@]3(C[C@@H]1O)[C@H]([C@H]4[C@]([C@@]2(C(=O)OC3(C)C)O)([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)C)OC(=O)C6=CC=CC=C6
55	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O
56	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H](CC[C@]6([C@@]5([C@H](C[C@H]4C3(C)C)O)C)C)[C@@](C)(C(/C=C/C(C)(C)OC)O)O)C)CO)O)O)O)O)O
57	C1[C@@H]([C@@]([C@H]2[C@@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)CO)O[C@H]1OC[C@H]([C@H]([C@H]1O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)OC(=O)C)OC(=O)C)O)O)O)O
58	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O
59	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H](CC[C@]6([C@@]5([C@H](C[C@H]4C3(C)C)O)C)C)[C@@](C)(C(CC=C(C)C)O)O)C)CO)O)O)O)O)O
61	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@H](CO8)O)OC(=O)C)O)O)O)O
62	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@H](CO8)OC(=O)C)O)O)O)O)O
63	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)OC(=O)C)OC(=O)C)O)O)O
64	CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=CC(=C(C=C34)O)OC)OC
65	CN1CC[C@@]23C=C(C(=O)C=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)OC
66	C1CC(=O)N(C1)C(=O)N
67	C[C@@H]1CC[C@H](CC2=C1C=CC(=N2)C)C(C)(C)O
68	C[C@H](CC(=O)C[C@@H](C)C(=O)O)[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O)C)C)O
69	C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C
70	CCCCCCCCC[C@@H]([C@@H]1CC[C@H](O1)[C@@H]2CC[C@H](O2)CCCCCCCCCC[C@@H](CC3=C[C@@H](OC3=O)C)O)O
71	CCCCCCCCC[C@@H]([C@@H]1CC[C@@H](O1)[C@H]2CC[C@H](O2)CCCCCCCCCC[C@@H](CC3=C[C@@H](OC3=O)C)O)O
72	CCC[C@H]([C@@H](CCCCCCCC[C@H]([C@H]1CC[C@@H](O1)CCCCCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
73	CCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCC[C@@H](CCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O)O
74	CCCCCCCCCCCC[C@H]([C@H]1CC[C@H](O1)[C@H](CCCCCCC(CCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
75	CCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O
76	CCCCCCCCCC[C@H]([C@@H]1CC[C@H](O1)[C@@H]2CC[C@H](O2)[C@H](CCCCCCCCCCC(CC3=CC(OC3=O)C)O)O)O
77	CCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CCCC[C@@H](CCCCCCCC2=C[C@@H](OC2=O)C)O)O)O
78	CCCCCCCCCCCC[C@H]([C@H]1CC[C@H](O1)[C@H](CCCCC(=O)CCCCCCCC2=C[C@@H](OC2=O)C)O)O
79	CCCCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CC[C@@H](CCCCCCCC2=C[C@@H](OC2=O)C)O)O)O
80	CCCCCCCCCCCCC(C(CCC(C1CCC(O1)CCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
81	CCCCCC(C(CCCCCC[C@@H]([C@@H]1CC[C@H](O1)CCCCCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
82	CCCCCC(C(CCCCCC[C@@H]([C@@H]1CC[C@H](O1)CCCCCCCCCC[C@@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
83	CCCCCCCC(C(CC[C@@H]([C@@H]1CC[C@H](O1)CCCCCCCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
84	CCCCCCCC(C(CC[C@@H]([C@@H]1CC[C@H](O1)CCCCCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
85	CCCCC(C(C/C=C\CC[C@@H]([C@@H]1CC[C@H](O1)CCCCCCCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O
86	CCCCCCCC(C(CCCC[C@H]([C@H]1CC[C@@H](O1)CCCCCCCCCCCCC2=C[C@@H](OC2=O)C)O)O)O
87	CCCCC/C=C\CCC(C(CCCC[C@H]([C@H]1CC[C@@H](O1)CCCCCCCCCCCCC2=C[C@@H](OC2=O)C)O)O)O
88	CCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCCC3=C[C@@H](OC3=O)C)O)O
89	C[C@H]1C=C(C(=O)O1)C[C@@H](CCCCCCCCCC[C@H]([C@H]2CCC(=O)O2)O)O
90	CCCCCCC(CCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCC(CCCCCCCC3=CC(OC3=O)C)O)O)O)O
91	CCCCCC[C@@H](CCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCCCCC3=C[C@@H](OC3=O)C)O)O)O
92	CCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCCCCC3=C[C@@H](OC3=O)C)O)O
93	CC(=C1C=C(C(=O)O1)CN2CCCC2=O)C
94	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
95	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
96	C/C(=C\CO)/C(=O)O[C@@H]1C[C@@](C2[C@@H]([C@@H]3[C@](C2[C@@H]4[C@@H]1C(=C)C(=O)O4)(O3)C)OC(=O)C)(CCl)O
97	CC(=C)[C@@H]1CC[C@]2([C@@H](CC[C@]([C@@H]2C1)(C)O)O)C
98	CC(C)[C@@H]1CC[C@]2([C@@H](CCC(=C)[C@@H]2[C@H]1O)O)C
99	CC(C)[C@@H]1CC[C@]2([C@@H](CCC(=C)[C@@H]2[C@H]1O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C
100	C/C=C(/C)\C(=O)O[C@@H]1CC(=C2C[C@@H]([C@]([C@@H]2[C@@H]3[C@@H]1C(=C)C(=O)O3)(C)O)O)CO
101	C/C(=C\CO)/C(=O)O[C@@H]1C[C@@]([C@H]2[C@@H]([C@@H]3[C@@H]1C(=C)C(=O)O3)[C@]4([C@@H]([C@H]2O)O4)C)(CCl)O
102	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@]5(C[C@H]7[C@]4(C2=O)O7)O)COC6=O)C
103	C[C@@H](CO)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4(C2=O)O7)COC6=O)C
104	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C
105	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4(C2=O)O7)COC6=O)C
106	CC1=CC2=C(C=C1O)[C@]3(CC[C@@H](C([C@@H]3C=C2)(C)C)O)C
107	CC1=CC2=C(C=C1O)[C@]3(CC[C@@H](C(C3=CC2=O)(C)C)O)C
108	CC1=C(C2=C(C=C1)C=C(C(=C2)O)C)CCC(=O)C(C)C
109	C[C@@H](CCC[C@H](C)CCC/C(=C/CO)/C)CCCC(C)C
110	C[C@]12CC[C@@]34C[C@@]35CCC(=O)C([C@@H]5C[C@@H]([C@H]4[C@@]1(CC[C@@H]2[C@]6(CCC(=O)O6)C)C)O)(C)C
111	C[C@H](CC/C=C(/C)\C(=O)O)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CCC(=O)C5(C)C)C)C
112	C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O
113	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@@H]6[C@]7(CC[C@@H](C([C@@H]7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO[C@@H]9[C@H]([C@@H]([C@@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)(C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
114	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]34CC[C@@]5(C(=CC[C@H]6[C@]5(CC[C@@H]7[C@@]6(CC[C@@H](C7(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)C)[C@@H]3CC(CC4)(C)C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
115	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@@H]6[C@]7(CC[C@@H](C([C@@H]7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@@H]9[C@H]([C@@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)(C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/CO)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
116	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@@H]6[C@]7(CC[C@@H](C([C@@H]7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)(C)C)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)O)O)OC(=O)/C(=C/CCC(C)(C=C)O)/CO)OC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)O
